"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 31 00:22:25 MSK 2023","Thu Aug 31 00:22:26 MSK 2023","989","tests","Elements","Web Tables","","","test_web_table_add_person[input_data46]"," Check if one new person could be added in the list "
"passed","Thu Aug 31 00:32:07 MSK 2023","Thu Aug 31 00:32:09 MSK 2023","1180","tests","Elements","Web Tables","","","test_web_table_search_one_random_result"," Check if search result matches to the random query "
"skipped","Thu Aug 31 00:26:56 MSK 2023","Thu Aug 31 00:26:58 MSK 2023","1382","tests","Elements","Web Tables","","","test_web_table_add_person[input_data223]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:26:53 MSK 2023","Thu Aug 31 00:26:54 MSK 2023","1368","tests","Elements","Web Tables","","","test_web_table_add_person[input_data221]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:26:22 MSK 2023","Thu Aug 31 00:26:23 MSK 2023","1368","tests","Elements","Web Tables","","","test_web_table_add_person[input_data203]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:21:54 MSK 2023","Thu Aug 31 00:21:55 MSK 2023","977","tests","Elements","Web Tables","","","test_web_table_add_person[input_data26]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:24:06 MSK 2023","Thu Aug 31 00:24:07 MSK 2023","1014","tests","Elements","Web Tables","","","test_web_table_add_person[input_data118]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:30:23 MSK 2023","Thu Aug 31 00:30:24 MSK 2023","948","tests","Elements","Web Tables","","","test_web_table_add_person[input_data341]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:29:34 MSK 2023","Thu Aug 31 00:29:36 MSK 2023","1421","tests","Elements","Web Tables","","","test_web_table_add_person[input_data314]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:27:46 MSK 2023","Thu Aug 31 00:27:47 MSK 2023","1368","tests","Elements","Web Tables","","","test_web_table_add_person[input_data252]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:27:41 MSK 2023","Thu Aug 31 00:27:42 MSK 2023","1393","tests","Elements","Web Tables","","","test_web_table_add_person[input_data249]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:21:42 MSK 2023","Thu Aug 31 00:21:44 MSK 2023","1509","tests","Elements","Web Tables","","","test_web_table_add_person[input_data19]"," Check if one new person could be added in the list "
"broken","Thu Aug 31 00:32:53 MSK 2023","Thu Aug 31 00:32:59 MSK 2023","6560","tests","Elements","ClickButtons","","","test_click_buttons_page_right_click"," Check if it's possible to right-click button "
"skipped","Thu Aug 31 00:30:10 MSK 2023","Thu Aug 31 00:30:11 MSK 2023","1353","tests","Elements","Web Tables","","","test_web_table_add_person[input_data334]"," Check if one new person could be added in the list "
"passed","Thu Aug 31 00:23:53 MSK 2023","Thu Aug 31 00:23:54 MSK 2023","916","tests","Elements","Web Tables","","","test_web_table_add_person[input_data109]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:25:56 MSK 2023","Thu Aug 31 00:25:58 MSK 2023","1363","tests","Elements","Web Tables","","","test_web_table_add_person[input_data188]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:22:24 MSK 2023","Thu Aug 31 00:22:25 MSK 2023","1028","tests","Elements","Web Tables","","","test_web_table_add_person[input_data45]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:30:26 MSK 2023","Thu Aug 31 00:30:27 MSK 2023","1466","tests","Elements","Web Tables","","","test_web_table_add_person[input_data343]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:31:09 MSK 2023","Thu Aug 31 00:31:10 MSK 2023","1376","tests","Elements","Web Tables","","","test_web_table_add_person[input_data368]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:23:07 MSK 2023","Thu Aug 31 00:23:08 MSK 2023","953","tests","Elements","Web Tables","","","test_web_table_add_person[input_data76]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:28:46 MSK 2023","Thu Aug 31 00:28:47 MSK 2023","1374","tests","Elements","Web Tables","","","test_web_table_add_person[input_data287]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:22:10 MSK 2023","Thu Aug 31 00:22:11 MSK 2023","996","tests","Elements","Web Tables","","","test_web_table_add_person[input_data36]"," Check if one new person could be added in the list "
"passed","Thu Aug 31 00:21:23 MSK 2023","Thu Aug 31 00:21:24 MSK 2023","940","tests","Elements","Web Tables","","","test_web_table_add_person[input_data5]"," Check if one new person could be added in the list "
"passed","Thu Aug 31 00:22:56 MSK 2023","Thu Aug 31 00:22:57 MSK 2023","897","tests","Elements","Web Tables","","","test_web_table_add_person[input_data69]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:32:13 MSK 2023","Thu Aug 31 00:32:13 MSK 2023","172","tests","Elements","Web Tables","","","test_web_table_search_specified_results[Ve-2]"," Check if search result matches to the query "
"skipped","Thu Aug 31 00:27:17 MSK 2023","Thu Aug 31 00:27:18 MSK 2023","984","tests","Elements","Web Tables","","","test_web_table_add_person[input_data235]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:23:05 MSK 2023","Thu Aug 31 00:23:06 MSK 2023","910","tests","Elements","Web Tables","","","test_web_table_add_person[input_data75]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:31:22 MSK 2023","Thu Aug 31 00:31:23 MSK 2023","1324","tests","Elements","Web Tables","","","test_web_table_add_person[input_data375]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:30:28 MSK 2023","Thu Aug 31 00:30:29 MSK 2023","1360","tests","Elements","Web Tables","","","test_web_table_add_person[input_data344]"," Check if one new person could be added in the list "
